Unnamed: 0	Cluster
CSTF2	6
CSTF3	10
SIX5	15
ADRA1A	1
TICAM1	6
ZNRF4	12
NKX2-5	4
ATP8B3	4
CTBS	16
CTBP1	3
FAM163A	4
CTBP2	18
CTF1	19
CCN2	18
ZNF362	4
CTH	6
CNIH3	0
CTLA4	19
CTNNA1	13
CTNNA2	1
RNF187	16
PYHIN1	4
CTNS	18
CTNNB1	16
LSM14B	0
AANAT	4
ADRA2A	0
CTNND1	4
SIK1	7
CTNND2	1
CCT8L2	4
ZDHHC8P1	15
CTPS1	10
CTRL	4
FBXO41	1
CTSB	16
CTSD	15
LINC01963	4
ADRA2B	4
CTSE	0
SEPT10	12
KANSL1L	1
CTSG	6
CTSH	7
KLHL23	13
CTSK	5
CTSL	11
CTSV	15
CTSO	15
PPP4R2	0
ADRA2C	15
CTSS	15
RNF38	6
ROPN1B	18
CTSW	16
SPICE1	1
CTSZ	12
CUX1	6
CX3CR1	0
CXADR	15
PAQR3	13
TEX28	1
CYB5A	13
TRMT44	1
ADRB1	1
CYB561	5
CYBA	13
CYBB	12
CYC1	3
CYLC1	4
CYLC2	1
ADRB2	11
CYLD	15
CYP1A1	16
CYP1A2	12
CYP1B1	2
RUNDC3B	1
AMOT	4
CYP2A6	19
KCTD7	7
ADRB3	12
LOC155060	12
ATP6V0E2	13
CYP3A7	1
CYP2A13	15
NSUN5P1	5
CYP2B6	4
CYP2B7P	5
CYP2C19	1
CYP2C8	1
CYP2C9	12
GRK2	12
CYP2C18	12
CYP2D6	4
GRK3	1
CYP2E1	12
CYP2F1	1
CYP2J2	1
ANKRD46	19
CYP3A4	12
LINC00599	15
VPS13B	12
ERICH1	1
CYP3A5	0
SBSPON	1
CYP4A11	1
CAMSAP1	7
ADSL	3
CYP4B1	5
CYP7A1	0
CYP11A1	19
CYP11B1	1
PRUNE2	18
CYP11B2	19
ZXDB	1
CYP17A1	4
ADAM3A	1
MOSPD2	0
CYP19A1	19
CYP21A2	19
ADSS	6
CYP24A1	0
RBMY2FP	4
CYP26A1	4
CYP27A1	15
CYP27B1	19
CYP51A1	13
SLC5A12	1
AARS	8
DAB1	4
DAB2	5
DACH1	19
DAD1	12
CD55	7
DAG1	8
DENND5B	0
DGKA	15
DGKB	4
DGKG	1
DGKQ	4
AP2A2	16
DAO	4
DAP	12
DAPK1	7
DAPK3	18
DARS	8
DAXX	5
DAZL	19
AP1B1	16
BRINP1	1
DBH	15
DBI	16
RETREG3	3
DBN1	5
DBP	12
DBT	12
ZNF550	4
AP2B1	13
DCC	4
ZNF780B	1
ECI1	15
DCK	14
DCN	5
DENND1B	5
DCTD	8
ACE	4
DCT	5
DCTN1	12
AP1G1	18
DCX	19
DDB1	13
DDB2	11
DDC	0
AKR1C1	13
AKR1C2	13
TMPRSS6	4
GADD45A	11
DDIT3	2
AEBP1	12
DDOST	12
DDT	7
DDX1	8
DDX3X	2
DDX5	10
DDX6	0
DMXL1	16
DHX8	2
TLE5	5
DHX9	6
DDX10	9
DDX11	0
DHX15	10
DECR1	15
DCLK2	4
ADGRA3	13
DEFA4	1
CRISP1	4
DEFA5	1
DEFA6	0
DEFB1	7
DCP2	6
DEFB4A	7
DES	16
CFD	12
DFFA	4
DFFB	1
TIMM8A	6
ZNF467	15
GSDME	11
COCH	7
KCNV2	1
OLFML2A	19
PSORS1C1	4
PSORS1C2	12
ZNF721	7
ZNF384	7
ASXL1	2
ZNF675	1
SPTSSA	13
PTCRA	12
ABHD3	16
DGUOK	16
DHCR7	13
DHCR24	13
DHFR	13
DHFRP3	1
DHODH	12
DHPS	13
CYB5R3	16
NQO1	6
DIAPH1	13
AFM	1
DIAPH2	12
DIO1	1
DIO2	16
DIO3	15
DKC1	10
DLAT	8
DLD	8
DLG1	13
AFP	0
DLG2	1
DLG3	4
DLG4	15
DLST	6
DLX2	19
DLX4	19
DLX5	1
AGA	16
DLX6	4
DMBT1	0
DMD	0
SARDH	4
DMP1	1
DNM1	12
ACAN	1
DMPK	15
DMRT1	1
DMWD	4
DNA2	17
DNAH6	4
